,English Word,French Word,Frequency
0,abide,respecter,42
1,about,sur,370
2,above,au dessus,124
3,abroad,à l'étranger,63
4,absence,absence,55
5,abuse,abuser de,73
6,according,selon,34
7,account,Compte,54
8,accuse,accuser,49
9,acquainted,connaissance,41
10,action,action,231
11,advantage,avantage,86
12,advice,Conseil,43
13,affairs,affaires,66
14,affection,affection,113
15,affections,affections,40
16,afraid,peur,41
17,after,après,462
19,again,encore,1212
20,alive,vivant,89
21,almost,presque,139
22,alone,seul,232
23,along,le long de,108
24,already,déjà,139
25,although,bien que,37
26,always,toujours,59
27,ambition,ambition,46
28,ancient,ancien,75
29,angel,ange,126
30,anger,colère,416
31,another,un autre,370
32,answer,répondre,455
33,anything,n'importe quoi,100
34,apparel,vêtements,47
35,appear,apparaître,213
37,approach,approche,87
38,argument,argument,78
40,armour,armure,54
41,aside,de côté,132
42,asleep,endormi,59
43,assure,assurer,63
45,attend,assister,279
47,authority,autorité,51
48,avoid,éviter,48
49,awake,éveillé,68
50,awhile,quelque temps,101
51,banish,bannir,192
52,barren,Dénudé,40
54,bastard,Connard,90
55,battle,bataille,146
56,beard,barbe,124
57,bearing,palier,66
58,bears,ours,105
59,beast,la bête,129
60,beaten,battu,48
61,beauty,beauté,224
62,because,car,81
63,become,devenir,184
65,before,avant,629
66,beggar,mendiant,119
67,begin,commencer,173
68,behalf,nom,46
69,behind,derrière,114
70,behold,voir,154
71,being,étant,548
72,believe,croyez,197
73,belike,être comme,22
74,below,au dessous de,52
75,benefit,avantage,47
76,besides,outre,49
77,betray,trahir,67
78,better,mieux,583
79,between,entre,195
80,beyond,au-delà,43
81,birth,naissance,101
82,bishop,évêque,36
83,bitter,amer,95
84,black,noir,172
85,blame,faire des reproches,93
86,bless,bénir,244
88,blest,heureux,80
89,blind,aveugle,102
90,blood,du sang,933
91,blows,coups,70
92,blunt,cru,38
93,blush,rougir,84
94,bodies,corps,44
95,bones,des os,76
96,borne,supporté,93
97,bottom,bas,40
98,bought,acheté,51
99,bound,lié,219
100,bounty,prime,41
101,brain,cerveau,148
103,brave,courageux,205
104,breast,Sein,116
105,breath,souffle,350
106,breed,race,106
107,brief,bref,100
108,bright,brillant,80
109,bring,apporter,447
110,broke,cassé,234
111,brook,ruisseau,50
112,brother,frère,682
113,brought,apporté,186
114,brows,sourcils,49
115,burden,fardeau,59
116,buried,enterré,56
117,burning,brûlant,51
118,business,Entreprise,235
119,cannot,ne peux pas,718
121,captain,capitaine,77
122,cardinal,cardinal,12
123,cares,se soucie,36
124,carry,porter,104
125,castle,Château,61
